unitid,calsys,crsloc1,crsloc2,crsloc3,crsloc4,crsloc5,crsloc6,facloc1,facloc2,facloc3,facloc4,facloc5,facloc6,facloc7,facloc8,facloc9,facloc10,mili,mil1insl,mil2insl,admreq1,admreq2,admreq3,admreq4,admreq5,admreq6,admreq7,admreq8,admreq9,admreq10,admreq11,admreq12,admreq13,yrscoll,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12,mode13,mode14,stusrv1,stusrv2,stusrv3,stusrv4,stusrv5,stusrv6,stusrv7,stusrv8,stusrv9,libfac,libshar1,libshar2,libshar3
"229300","1","1","-5","-5","-5","-5","-5","1","-5","-5","-5","1","-5","-5","-5","-5","-5","1","1","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","-5","-5","-5","1","1","-5","2","223223","229179","-1"
"229319","2","1","-5","-5","1","-5","-5","1","-5","1","-5","-5","1","-5","-5","-5","-5","2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","1","-5","1","1","-5","-2","1","1","1","-5","1","-5","-5","-5","-5","1","-5","1","-5","-5","1","1","1","1","1","1","1","1","-5","1","-2","-2","-2"
"229328","2","1","-5","-5","1","-5","-5","1","-5","-5","-5","-5","1","1","-5","-5","-5","1","1","-5","-5","1","-5","1","-5","-5","1","-5","1","-5","1","1","-5","-2","1","1","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","1","1","1","1","-5","1","1","-5","-5","1","-2","-2","-2"
"229337","1","1","1","-5","-5","-5","-5","1","-5","-5","-5","1","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","1","1","1","1","1","-5","1","-5","1","2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","1","1","1","-5","-5","1","-2","-2","-2"
"229346","3","1","-5","-5","-2","-2","-2","1","-5","-5","-5","1","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-2","-5","1","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-5","-5","-5","-5","-5","-5","-5","-5","1","1","-2","-2","-2"
"229355","1","1","-5","-5","1","-5","-5","1","-5","1","-5","-5","1","-5","-5","-5","1","2","-2","-2","-5","1","-5","1","1","1","-5","-5","1","-5","1","-5","-5","-2","1","1","1","-5","1","-5","-5","-5","-5","1","-5","1","-5","-5","1","1","1","1","1","1","1","-5","-5","1","-2","-2","-2"
"229407","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"229416","6","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","1","-5","1","1","1","-5","-5","1","-5","-5","1","-2","-2","-2"
"229425","6","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","1","-5","-5","-5","-5","1","1","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-5","1","1","1","-5","-5","-5","-5","-5","2","-1","-1","-1"
"229452","7","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","1","1","-5","-5","1","-5","1","1","-5","-5","1","-2","-5","1","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-5","-5","-5","-5","-5","-5","-5","-5","1","-1","-2","-2","-2"
